Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
K. Coman,Bayern München,"RAMF, LAMF, RWF",24,40000000,2023-06-30,1585,"France, Guadeloupe",right,179,75,no,4.71,63.86,2.21,48.72,0,2.63,0.57,0.21,1.93,38.24,11.765,38.3,9.26,57.06,6.59,3.86,32.2,2.67,44.18,79.82,6.93,69.67,12.38,16.18,37.14,2.33,19.1,0.22,1.76,1.99,62.86,5.05,55.06,2.78,1.87,5.91,77.88
W. Ben Yedder,Monaco,CF,30,40000000,2024-06-30,2285,Tunisia,right,170,68,no,2.99,59.21,1.89,18.75,0,1.61,0.43,0.46,2.36,63.33,30,29.73,3.03,46.75,4.88,1.5,22.69,1.46,30.68,76.38,8,66.01,6.26,8.7,27.53,1.77,16.08,0.23,1.34,4.29,65.14,2.84,63.89,2.05,0.47,4.02,87.25
Adama Traoré,Wolverhampton Wanderers,"RWF, RWB, CF",24,40000000,2023-06-30,2824,"Spain, Mali",right,178,72,no,3.95,54.03,3.12,43.88,0.08,2.12,1.21,0.12,1.37,27.91,9.302,36.5,13.96,70.32,2.93,5.42,15.52,2.52,26.77,70.12,6.15,70.47,6.15,9.59,19.5,1.43,20.03,0.22,1.4,2.2,72.46,4.56,48.25,0.92,2.04,4.27,87.31
Diogo Jota,Liverpool,"LWF, CF",23,40000000,2025-06-30,2422,Portugal,right,178,73,no,5.91,42.77,2.64,35.21,0.38,2.03,1.49,0.41,2.38,40.63,10.938,30.19,6.99,44.68,4.68,3.9,22.11,2.01,31.21,81.07,7.06,71.05,8.62,9.25,28.02,1.45,16.91,0.09,0.97,2.53,70.59,1.86,58,1,0.52,3.27,70.45
R. Jiménez,Wolverhampton Wanderers,CF,29,40000000,2024-06-30,3452,Mexico,left,190,76,no,2.74,58.1,5.08,41.03,0.23,2.57,0.99,0.49,2.84,38.53,15.596,35.71,3.81,44.52,4.3,1.56,16.35,2.24,23.8,75.36,5.4,71.98,6.49,6.8,20.86,2.03,17.22,0.15,1.04,2.63,64.36,1.67,57.81,1.25,0.37,3.26,78.4
M. Thuram,Borussia M'gladbach,"LAMF, CF, RAMF",23,40000000,2023-06-30,2298,"France, Guadeloupe",right,192,88,no,4.66,54.62,5.8,55.41,0.1,3.53,2.04,0.46,2.11,70.37,18.519,24.53,7.25,52.43,4.74,2.74,16.49,2.31,24.05,72.48,4.58,67.52,5.72,6.62,21.66,0.74,13.51,0.23,0.9,1.61,65.85,2.27,48.28,1.61,0.51,2.78,74.65
D. Zapata,Atalanta,CF,29,40000000,2023-06-30,2126,Colombia,right,189,88,no,2.37,48.21,4.06,41.67,0.18,1.85,1.57,0.63,3.43,44.44,22.222,32.56,5,48.31,7.03,1.4,16.26,1.9,23.62,79.75,3.39,78.75,7.03,7.62,21.29,0.55,15.53,0.17,1.31,1.1,69.23,1.74,65.85,1.86,0.59,1.61,76.32
P. Aubameyang,Arsenal,"CF, LAMF, LWF",31,40000000,2023-06-30,3399,Gabon,right,187,80,no,3.39,59.38,2.54,30.21,0.38,3.11,0.37,0.38,2.38,46.67,24.444,32.14,3.2,63.64,3.71,1.59,17.42,1.75,22.32,72.24,5,65.08,5.77,6.86,18.83,0.77,16.37,0.07,0.53,1.32,64,3.12,46.61,1.3,0.79,3.2,69.42
J. Ikoné,Lille,"RW, AMF, CF",22,36000000,2023-06-30,2143,Congo DR,left,175,73,no,3.19,43.42,1.34,34.38,0.11,2.66,0.63,0.19,1.47,40,8.571,25,6.8,47.53,2.35,2.14,21,1.01,28.35,79.56,6.97,70.48,7.77,7.73,26.29,0.88,16.63,0.14,1.09,2.44,72.41,2.9,53.62,1.89,0.29,3.02,83.33
M. Diaby,Bayer Leverkusen,"LAMF, RAMF, LWF",21,36000000,2024-06-30,1872,"France, Mali",left,170,68,no,2.98,56.45,0.82,17.65,0.07,2.38,0.63,0.14,1.92,55,12.5,35.58,7.55,55.41,4.04,3.94,24.66,1.92,32.36,76.52,4.66,65.98,9.95,11.44,26.35,1.25,17.75,0.31,1.59,1.97,68.29,4.47,47.31,1.44,1.83,4.04,84.52
