Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
M. Schmerböck,Wolfsberger AC,"CF, LWF",26,600000,2021-06-30,170,Austria,left,178,73,no,5.29,70,2.12,50,0,5.83,2.12,0.16,1.59,33.33,0,0,2.12,0,2.65,0,15.88,2.12,19.06,58.33,6.35,50,4.76,2.65,14.29,2.12,18.63,0,0,2.12,25,2.12,25,0,0,2.12,100
A. Jukic,Austria Wien II,"LW, LCMF",20,600000,2021-05-31,548,Austria,right,183,73,no,6.9,47.62,2.3,28.57,0.19,6.69,0.66,0.28,1.97,50,8.333,71.43,2.46,46.67,1.81,0.49,22.5,1.48,33.67,86.34,9.85,73.33,7.39,11,30.05,2.46,15.96,0.08,0.33,5.26,75,1.64,70,0.33,0.99,5.58,64.71
C. Dieng,Wolfsberger AC,CF,27,600000,2022-06-30,379,Senegal,right,180,66,no,2.14,66.67,3.32,14.29,0.67,2.02,1.42,0.13,0.71,100,33.333,40,5.94,56,2.37,2.14,10.69,1.66,17.34,71.23,3.32,78.57,4.99,4.99,14.72,0.24,15.31,0.09,0.95,0.95,75,2.85,58.33,0.71,1.42,2.61,63.64
J. Jantscher,Sturm Graz,CF,31,600000,2021-06-30,884,Austria,right,181,69,no,2.65,53.85,1.73,11.76,0.29,2.5,0.71,0.27,2.55,44,16,31.03,2.44,45.83,4.79,1.32,23.62,3.87,32.38,80.19,6.01,71.19,8.35,8.45,28.3,1.32,14.6,0.4,2.65,2.04,65,2.04,40,1.53,0.81,3.46,85.29
B. Edomwonyi,Austria Wien,CF,26,500000,2022-06-30,207,Nigeria,right,186,78,no,4.35,30,10,21.74,0,2.31,2.61,0.06,1.74,25,0,0,4.35,70,6.52,1.3,10.87,3.48,17.83,78.05,4.35,70,4.35,5.22,16.52,0.43,14.33,0.04,1.3,0.87,50,1.74,25,1.74,0,0.43,100
D. Alar,Rapid Wien,CF,30,500000,2022-06-30,30,"Croatia, Austria",left,185,75,no,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,4.15,,,,,,,,,,
M. Sax,Austria Wien,"LW, AMF, RW",28,500000,2022-06-30,186,Austria,both,178,70,no,6.29,23.08,1.94,0,0,1.91,3.39,0,0,0,0,66.67,6.29,7.69,0.97,0.97,11.13,1.45,18.39,65.79,7.26,53.33,2.9,7.26,13.55,3.39,22.99,0,0,4.35,55.56,3.39,28.57,1.45,0.97,4.84,90
N. Meister,St. Pölten,"RWF, CF, LW",21,450000,2021-06-30,312,Austria,right,164,66,yes,7.21,56,2.02,14.29,0,3,2.88,0.36,1.44,60,40,40,4.04,28.57,2.6,1.73,17.6,2.02,26.54,77.17,6.06,52.38,8.37,5.77,23.08,2.02,14.12,0.03,0.29,1.44,20,0.87,100,0.58,0.58,2.88,60
L. Ried,Hartberg,"RW, AMF, CF",25,400000,2021-06-30,472,Austria,right,178,67,no,6.29,45.45,4,33.33,0,4.36,2.67,0.14,1.53,12.5,0,14.29,3.24,58.82,1.72,0.57,13.16,2.86,25.17,75,6.1,68.75,7.44,7.44,21.17,1.53,16.08,0.13,0.57,2.29,58.33,2.1,18.18,0.19,0.19,2.29,66.67
M. Meilinger,Rheindorf Altach,"RW, RAMF, RWF",29,400000,,144,Austria,left,181,77,no,2.5,50,2.5,75,0,3.87,0,0.1,1.88,0,0,33.33,4.38,42.86,1.25,1.25,15,0.63,25.63,73.17,4.38,71.43,4.38,8.13,23.12,0.63,15.37,0.43,1.88,1.25,50,1.88,33.33,0,0.63,1.25,100
D. Nussbaumer,Rheindorf Altach,"CF, RWF",21,400000,2021-06-30,950,Austria,right,188,65,no,3.88,39.02,5.49,17.24,0.14,3.11,2.08,0.35,1.89,40,10,50,3.13,54.55,3.22,1.04,16.2,2.84,21.69,70.31,4.74,56,5.59,5.87,20.56,0.76,14.06,0.07,1.04,2.37,64,1.14,66.67,0.95,0.19,2.46,73.08
K. Yeboah,WSG Swarovski Tirol,CF,20,400000,2022-06-30,979,"Italy, Ghana",right,182,77,no,4.6,46,8.27,33.33,0.46,1.14,1.93,0.37,2.3,60,8,0,6.62,47.22,3.22,2.02,8.27,2.48,11.22,61.48,2.57,42.86,2.94,2.3,10.2,0.37,15.5,0.02,0.46,0.92,50,1.29,50,0.83,0,0.83,77.78
F. Rieder,WSG Swarovski Tirol,"LW, RW",24,400000,2021-06-30,585,Austria,right,170,63,no,6.46,61.9,1.54,20,0.61,4.29,2,0.12,2.77,27.78,5.556,50,4,57.69,2.92,0.77,20.15,2.31,27.54,68.16,9.85,54.69,4.46,8.77,23.85,1.85,17.93,0.23,1.69,6,53.85,3.23,61.9,1.38,0.92,6.15,80
Ž. Rogelj,WSG Swarovski Tirol,"RW, RB",21,400000,2021-06-30,828,Slovenia,right,170,65,no,6.41,50.85,1.63,33.33,0,6.29,1.09,0.03,0.87,25,0,53.33,3.7,41.18,1.2,1.63,16.52,1.41,25.43,65.81,9.78,41.11,4.67,5.87,20.98,3.04,18.53,0.03,0.87,4.24,38.46,1.96,44.44,0.33,0.76,6.52,48.33
M. Karamoko,LASK Linz,CF,21,400000,2024-06-30,64,"France, Côte d'Ivoire",right,188,81,no,8.44,33.33,7.03,80,0,8.18,2.81,1.46,5.63,25,25,0,7.03,60,7.03,0,19.69,2.81,26.72,57.89,7.03,20,8.44,4.22,25.31,0,11.05,0.45,1.41,2.81,0,2.81,50,2.81,0,1.41,100
L. Grozurek,St. Pölten,"CF, LWF",28,400000,2021-06-30,376,Austria,right,188,80,no,1.91,62.5,6.94,27.59,0,2.05,0.96,0.2,2.15,33.33,11.111,16.67,1.68,57.14,3.59,1.2,17.23,3.11,22.74,76.84,5.27,63.64,9.81,4.79,20.82,0.48,17.32,0.08,0.24,2.15,66.67,1.2,40,0.72,0,1.91,75
