Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
T. Anselm,WSG Swarovski Tirol,CF,20,300000,2023-06-30,301,Austria,right,171,67,yes,5.98,60,5.08,11.76,0,2.34,0.9,0.44,2.09,28.57,28.571,0,6.88,56.52,3.59,2.09,16.45,2.69,22.72,76.32,4.49,46.67,5.98,5.68,21.83,0.9,15.61,0.07,1.5,3.29,81.82,0.9,0,0.6,0,2.69,77.78
A. Ćirković,Admira,"LB5, LWF, LW",19,250000,,204,Austria,,0,0,no,6.18,50,2.21,40,1.09,2.18,1.76,0,0.44,0,0,0,7.06,75,0.44,3.97,17.65,1.32,29.12,68.18,11.03,56,7.94,6.62,23.82,3.53,19.01,0,0,4.41,60,3.53,37.5,0.44,0.44,4.85,63.64
L. Gabbichler,Hartberg,"CF, LCMF3, LWB",22,250000,2021-06-30,44,Austria,right,186,76,no,,,,,3.75,7.5,,,,,0,,,,,,,,,,,,,,,,22.05,,,,,,,,,,
P. Plojer,LASK Linz,"RW, RWF, AMF",19,250000,2022-06-30,68,Austria,right,170,58,no,3.97,33.33,5.29,0,0,5,1.32,0,0,0,0,0,3.97,33.33,0,2.65,19.85,0,23.82,72.22,1.32,100,9.26,9.26,21.18,0,12.49,0,0,1.32,0,2.65,50,1.32,0,2.65,50
M. Haas,Ried,"LB5, RB, LB",24,250000,2022-05-31,121,Austria,left,180,72,no,5.95,50,2.98,50,0.75,6,2.98,0,0,0,0,0,1.49,50,0.74,0,6.69,0,16.36,54.55,8.93,33.33,1.49,4.46,12.64,3.72,20.74,0,0,3.72,60,1.49,50,0.74,0,8.18,54.55
A. Bajic,Ried,"RAMF, RW",25,250000,2021-06-30,256,Germany,,0,0,no,7.38,76.19,4.92,50,0,5.82,2.11,0.2,1.41,75,50,25,6.68,52.63,3.87,2.46,10.9,0.7,21.8,62.9,6.68,57.89,3.87,7.03,16.52,1.41,16.4,0.29,1.41,3.16,33.33,4.22,50,1.41,0.7,4.22,83.33
S. Paintsil,Ried,"CF, RW, RAMF",24,250000,,515,Ghana,right,167,66,no,4.02,43.48,3.32,10.53,0,2.94,1.05,0.16,1.22,14.29,14.286,37.5,5.77,60.61,3.32,2.62,10.14,1.05,19.75,72.57,3.5,60,4.72,7.17,16.25,1.05,14.44,0.13,1.4,1.05,50,2.27,53.85,1.22,0.87,2.62,73.33
D. Starkl,Admira,"CF, LW, RWB",27,250000,2021-06-30,334,Austria,right,176,70,no,5.66,57.14,2.69,20,0,2.97,0.54,0.08,0.81,0,0,11.11,8.08,36.67,2.96,1.62,19.13,1.08,28.83,66.36,9.16,55.88,6.2,7.54,25.06,1.35,16.47,0.22,0.54,2.43,55.56,2.43,33.33,0.81,0.54,4.58,52.94
J. Ganda,Admira,"RW, CF, LB5",23,250000,2023-06-30,406,"Israel, Congo DR",left,186,80,no,4.88,59.09,8.87,32.5,0.26,3.42,1.55,0.15,1.33,50,0,62.5,5.76,46.15,2,0,7.76,1.33,13.97,71.43,3.55,56.25,3.55,3.99,11.75,0.44,12.97,0.13,0.44,0.67,66.67,1.55,71.43,0,1.11,2.22,70
M. Tanzmayr,St. Pölten,"CF, RWF, LWF",18,250000,2022-06-30,162,Austria,,0,0,no,5,55.56,3.33,50,0,2.86,2.78,0.6,1.67,66.67,33.333,0,3.33,33.33,3.33,1.11,14.44,1.67,17.22,64.52,3.33,50,6.11,3.89,16.67,0,12.88,0.27,0.56,1.11,0,0,0,1.11,0,1.11,0
P. Sturm,Hartberg,"CF, RAMF",21,200000,2022-06-30,107,Austria,right,176,70,no,5.89,57.14,5.89,28.57,0,5.77,1.68,0.04,0.84,0,0,0,3.36,25,0,2.52,5.05,2.52,10.93,84.62,2.52,33.33,4.21,2.52,10.09,0.84,18.67,0,0,1.68,50,1.68,0,0.84,0,2.52,66.67
D. Savić,Rapid Wien II,LAMF,19,200000,,12,Serbia,,0,0,no,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,17.06,,,,,,,,,,
S. Sulley,Ried,CF,24,200000,2022-06-30,232,Ghana,right,190,87,no,3.88,40,17.46,46.67,0.87,0.87,2.33,0.05,0.78,0,0,100,2.33,50,2.33,0.39,10.86,3.1,17.07,68.18,3.1,37.5,5.43,5.43,16.68,0,15.26,0,0,0,0,1.55,75,0.78,0.39,0.78,100
N. Babil,Rheindorf Altach,"CF, RAMF",18,200000,2021-05-31,32,Ghana,,0,0,yes,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,9.83,,,,,,,,,,
J. Ertlthaler,Hartberg,"LAMF, AMF, LW",23,200000,2021-06-30,457,Austria,right,169,62,no,5.12,46.15,6.3,28.13,0,3.96,1.97,0.03,0.79,0,0,30,4.14,52.38,1.58,0.39,12.01,1.58,24.03,67.21,5.51,46.43,5.91,7.48,19.5,2.56,19.17,0.07,0.39,2.76,42.86,1.97,40,0.39,0.59,4.73,58.33
E. Hoffer,Admira,"CF, LW",33,200000,,734,Austria,right,176,72,no,3.43,60.71,3.8,32.26,0.15,1.63,0.86,0.23,0.98,75,25,0,2.94,50,1.1,0.61,10.79,1.72,16.68,61.03,4.9,45,5.03,3.8,14.71,1.47,16.72,0.01,0.12,2.33,36.84,1.1,22.22,0.25,0.12,1.47,58.33
S. Chabbi,Hartberg,CF,27,150000,2021-06-30,112,"Austria, Tunisia",right,189,77,no,2.41,66.67,8.04,50,1.25,0,2.41,0.26,0.8,100,100,0,1.61,50,2.41,0,13.66,4.02,20.09,48,5.63,28.57,3.21,5.63,19.29,0.8,13.23,0.17,0.8,4.02,20,2.41,33.33,0.8,0,3.21,25
S. Maierhofer,Admira,CF,38,100000,2021-06-30,217,Austria,right,202,95,no,3.32,50,15.35,56.76,0,3.16,4.15,0.26,2.07,0,0,100,0.41,0,2.07,0.41,11.2,4.56,24.88,66.67,9.54,43.48,7.05,4.15,24.06,0.41,11.09,0,0,2.9,42.86,1.24,0,0,0.41,0.83,100
F. Kekoh,Admira,"CF, RCMF, AMF",19,100000,,76,Cameroon,right,0,0,no,3.55,66.67,1.18,0,3.53,3.53,1.18,0.84,5.92,0,0,50,16.58,50,2.37,1.18,13.03,4.74,20.13,70.59,1.18,0,2.37,10.66,10.66,1.18,23.53,0,0,1.18,0,5.92,60,0,4.74,3.55,66.67
L. Kronberger,Admira,"LW, CF, AMF",18,100000,,140,Austria,,0,0,no,11.57,50,5.79,22.22,1.88,3.75,3.86,0.02,0.64,100,0,0,7.07,45.45,1.29,2.57,12.86,1.93,13.5,71.43,2.57,75,3.86,5.14,11.57,1.29,20.34,0,0,1.93,100,1.29,50,0,0,1.93,66.67
F. Seiwald,Ried,LB5,20,75000,,17,Austria,,0,0,no,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,9.55,,,,,,,,,,
A. Hodžić,Wolfsberger AC U18,CF,21,0,2021-06-30,6,Austria,right,186,87,no,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,
E. Igbonekwu,Hartberg II,RW,18,0,2020-12-31,2,Nigeria,,0,0,no,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,10.16,,,,,,,,,,
